;exFAT;NTFS;APFS;ext4;ZFS
Windows;1;1;0;0;0
Linux;1;1;0;1;1
OS_X;1;1;1;0;0
BSD;0;0;0;0;1
Solaris;0;0;0;0;1
eComStation;0;0;0;0;0
OpenVMS;0;0;0;0;0
AIX;0;0;0;0;0
IBM_i;0;0;0;0;0
z/OS;0;0;0;0;0
HP-UX;0;0;0;0;0
